command_id,title,help,element_type,access,MEP,Cluster,Element,InvokeResponse,Invoke,WriteResponse,Write,ReadResponse,Read,arg,name,dtype,description,longdescription,unit,range_min,range_max,less_than,greater_than,meanings,friendly_meanings
Basic.SystemTime,System Time,Attribute in Basic cluster,attribute,RW,HybridInverter,Basic,SystemTime,,,"{
    ""code"": 0,
    ""message"": ""Success"",
    ""version"": ""1.0"",
    ""requestId"": 123,
    ""timestamp"": 1735006163,
    ""data"": {
        ""code"": 0,
        ""message"": ""Success"",
        ""Elements"": [
            {
                ""MEP"": ""HybridInverter"",
                ""Cluster"": ""Basic"",
                ""Element"": ""SystemTime"",
                ""arguments"": {
                    ""Year"": 24,
                    ""Mon"": 7,
                    ""Day"": 8,
                    ""Hour"": 9,
                    ""Min"": 10,
                    ""Sec"": 11
                },
                ""code"": 0,
                ""message"": ""Success""
            }
        ]
    }
}","{
    ""version"": ""1.0"",
    ""timeout"": 60,
    ""requestId"": 123,
    ""endPoint"": ""Matter"",
    ""method"": ""Write"",
    ""data"": {
        ""Elements"": [
            {
                ""MEP"": ""HybridInverter"",
                ""Cluster"": ""Basic"",
                ""Element"": ""SystemTime"",
                ""arguments"": {
                    ""Year"": 24,
                    ""Mon"": 7,
                    ""Day"": 8,
                    ""Hour"": 9,
                    ""Min"": 10,
                    ""Sec"": 11
                }
            }
        ],
        ""thingId"": {
            ""Type"": ""Inverter"",
            ""Mn"": ""fortress"",
            ""Md"": ""FP-ENVY-Inverter"",
            ""SN"": ""04237218B0""
        }
    }
}","{
    ""code"": 0,
    ""message"": ""Success"",
    ""version"": ""1.0"",
    ""requestId"": 123,
    ""timestamp"": 1735005360,
    ""data"": {
        ""code"": 0,
        ""message"": ""Success"",
        ""Elements"": [
            {
                ""MEP"": ""HybridInverter"",
                ""Cluster"": ""Basic"",
                ""Element"": ""SystemTime"",
                ""code"": 0,
                ""message"": {
                    ""Mon"": 24,
                    ""Year"": 12,
                    ""Hour"": 23,
                    ""Min"": 28,
                    ""Sec"": 55,
                    ""Day"": 17
                }
            }
        ]
    }
}","{
    ""version"": ""1.0"",
    ""timeout"": 60,
    ""requestId"": 123,
    ""endPoint"": ""Matter"",
    ""method"": ""Read"",
    ""data"": {
        ""Elements"": [
            {
                ""MEP"": ""HybridInverter"",
                ""Cluster"": ""Basic"",
                ""Element"": ""SystemTime""
            }
        ],
        ""thingId"": {
            ""Type"": ""Inverter"",
            ""Mn"": ""fortress"",
            ""Md"": ""FP-ENVY-Inverter"",
            ""SN"": ""04237218B0""
        }
    }
}",Year,Year,Number,,,,0.0,99.0,,,,
,,,,,,,,,,,,,,Mon,Mon,Number,,,,1.0,12.0,,,,
,,,,,,,,,,,,,,Day,Day,Number,,,,1.0,31.0,,,,
,,,,,,,,,,,,,,Hour,Hour,Number,,,,0.0,23.0,,,,
,,,,,,,,,,,,,,Min,Min,Number,,,,0.0,59.0,,,,
,,,,,,,,,,,,,,Sec,Sec,Number,,,,0.0,59.0,,,,
Basic.OperatingMode,Grid Interaction,"Select whether the inverter operates independently of the grid, or is connected to the grid. If off-grid, you should also ignore grid-loss warnings.",attribute,RW,HybridInverter,Basic,OperatingMode,,,,,,,Mode,Mode,enum,,,,,,,,"Off-grid,Grid-tied","Off-Grid.  There is no available power grid,Grid-Tied. Grid power is available."
Basic.WorkMode,Operating Mode,"Select how solar power is prioritized. Self-consumption: PV powers the home first, then charges the battery, and exports last (if allowed). Export first: PV powers the home, then exports to grid, and charges the battery last. Backup power: PV charges the battery first to build reserve, then powers the home, and exports last (if allowed). If a battery schedule is running (PV Charge Only, Discharge Only, or Grid Charge), the inverter will follow that schedule during those times instead of this operating mode. When the scheduled period ends, the inverter will return to the selected operating mode.",attribute,RW,HybridInverter,Basic,WorkMode,,,,,,,Mode,Mode,enum,,,,,,,,"Self used mode,Feed-in priority mode,Back-up mode","Self-consumption,Export first,Backup power"
Basic.GridLossWarningClear,Ignore Grid-Loss Warning,"When enabled, the inverter will not treat the absence of grid power as an alarm. Use this mode for permanently off-grid systems where grid connection is unavailable.",attribute,RW,HybridInverter,Basic,GridLossWarningClear,,,,,,,Mode,Grid-Loss Behavior,enum,,,,,,,,"Disable,Enable","Treat as Alarm,Ignore (Off-Grid Mode)"
Basic.PowerStatus,Power Status,"Put the inverter into standby mode to stop operation or make configuration changes. While in standby, the inverter will not generate PV power or charge/discharge the battery. If grid power is available, it be used to supply the loads. If the grid is unavailable, the building will not have power.",attribute,R,HybridInverter,Basic,PowerStatus,,,,,,,State,State,enum,,,,,,,,"Standby,Other","Standby,Running"
Basic.AllToDefault,Reset to Factory Defaults,Restores all inverter configuration parameters to their original factory values. Use with caution — this cannot be undone.,service,INVOKE,HybridInverter,Basic,AllToDefault,,,,,,,,,,,,,,,,,,
Basic.PowerControl,Inverter Power Control,"Turns the inverter output on or off.

• **Standby:** AC output is disabled, but control circuits remain powered.
• **Power On:** Enables AC output and normal inverter operation.",service,INVOKE,HybridInverter,Basic,PowerControl,,,,,,,State,Power State,enum,,,,,,,,"Standby,PowerOn","Standby,Power On"
LimitActivePower.LimitActivePowerStatus,Limit Power Output,"Shows whether power output limiting is currently active. When not limited, the inverter can deliver its full available power (subject only to natural hardware limits). When limited, an external or configured cap is applied to restrict inverter output to the specified Power Limit.",attribute,R,HybridInverter,LimitActivePower,LimitActivePowerStatus,,,,,"{
    ""code"": 0,
    ""message"": ""Success"",
    ""version"": ""1.0"",
    ""requestId"": 123,
    ""timestamp"": 1736141456,
    ""data"": {
        ""code"": 0,
        ""message"": ""Success"",
        ""Elements"": [
            {
                ""MEP"": ""HybridInverter"",
                ""Cluster"": ""LimitActivePower"",
                ""Element"": ""LimitActivePowerStatus"",
                ""code"": 0,
                ""Data"": {
                    ""Mode"": ""Disable""
                }
            }
        ]
    }
}","{
    ""version"": ""1.0"",
    ""timeout"": 60,
    ""requestId"": 123,
    ""endPoint"": ""Matter"",
    ""method"": ""Read"",
    ""data"": {
        ""Elements"": [
            {
                ""MEP"": ""HybridInverter"",
                ""Cluster"": ""LimitActivePower"",
                ""Element"": ""LimitActivePowerStatus""
            }
        ],
        ""thingId"": {
            ""Type"": ""Inverter"",
            ""Mn"": ""fortress"",
            ""Md"": ""FP-ENVY-Inverter"",
            ""SN"": ""04237218B0""
        }
    }
}",Mode,Mode,enum,,,,,,,,"Disable,Enable","Not limited - full output,Limit output power"
LimitActivePower.ActivePowerPercent,Power Limit,"The inverter's present active-power output limit as a percentage of its rated capacity. If power limiting is active, the inverter will limit its output power to this percentage of its rated capacity.",attribute,R,HybridInverter,LimitActivePower,ActivePowerPercent,,,,,,,Power,Power Limit (%),Number,,,,0.0,100.0,,,,
FeedInGrid.FeedInGridStatus,Allow Selling Power to Grid,Allows the inverter to sell/export power back to the utility grid. Enable this only if local regulations and interconnect agreements permit grid export.,attribute,RW,HybridInverter,FeedInGrid,FeedInGridStatus,,,"{
    ""code"": 0,
    ""message"": ""Success"",
    ""version"": ""1.0"",
    ""requestId"": 123,
    ""timestamp"": 1735031763,
    ""data"": {
        ""code"": 0,
        ""message"": ""Success"",
        ""Elements"": [
            {
                ""MEP"": ""HybridInverter"",
                ""Cluster"": ""FeedInGrid"",
                ""Element"": ""FeedInGridStatus"",
                ""arguments"": {
                    ""Mode"": ""Enable""
                },
                ""code"": 0,
                ""message"": ""Success""
            }
        ]
    }
}","{
    ""version"": ""1.0"",
    ""timeout"": 60,
    ""requestId"": 123,
    ""endPoint"": ""Matter"",
    ""method"": ""Write"",
    ""data"": {
        ""Elements"": [
            {
                ""MEP"": ""HybridInverter"",
                ""Cluster"": ""FeedInGrid"",
                ""Element"": ""FeedInGridStatus"",
                ""arguments"": {
                    ""Mode"": ""Enable""
                }
            }
        ],
        ""thingId"": {
            ""Type"": ""Inverter"",
            ""Mn"": ""fortress"",
            ""Md"": ""FP-ENVY-Inverter"",
            ""SN"": ""04237218B0""
        }
    }
}","{
    ""code"": 0,
    ""message"": ""Success"",
    ""version"": ""1.0"",
    ""requestId"": 123,
    ""timestamp"": 1735031618,
    ""data"": {
        ""code"": 0,
        ""message"": ""Success"",
        ""Elements"": [
            {
                ""MEP"": ""HybridInverter"",
                ""Cluster"": ""FeedInGrid"",
                ""Element"": ""FeedInGridStatus"",
                ""code"": 0,
                ""message"": {
                    ""Mode"": ""Disable""
                }
            }
        ]
    }
}","{
    ""version"": ""1.0"",
    ""timeout"": 60,
    ""requestId"": 123,
    ""endPoint"": ""Matter"",
    ""method"": ""Read"",
    ""data"": {
        ""Elements"": [
            {
                ""MEP"": ""HybridInverter"",
                ""Cluster"": ""FeedInGrid"",
                ""Element"": ""FeedInGridStatus""
            }
        ],
        ""thingId"": {
            ""Type"": ""Inverter"",
            ""Mn"": ""fortress"",
            ""Md"": ""FP-ENVY-Inverter"",
            ""SN"": ""04237218B0""
        }
    }
}",Mode, ,enum,,,,,,,,"Disable,Enable","Not allowed,Allowed"
FeedInGrid.FeedInGridMaxPower,Max Power Sold to Grid,Sets the maximum power the inverter is allowed to sell/export to the grid. Use this to meet utility export limits or site commissioning requirements.,attribute,RW,HybridInverter,FeedInGrid,FeedInGridMaxPower,,,,,,,Power,Power (kW),Number,,,,0.0,100.0,,,,
FeedInGrid.FastZeroExportStatus,Prevent Grid Export: Strict Mode,"Keeps power export at or near zero by adjusting inverter output in real time. When enabled, the inverter supplies only local (on-site) loads and will not send power back to the grid. This mode is required when grid export is not allowed. Ensure the CTs are installed on the grid connection point and  not on the inverter's load side, so the inverter can correctly detect and prevent export.",attribute,RW,HybridInverter,FeedInGrid,FastZeroExportStatus,,,,,,,Mode,Fast Zero Export,enum,,,,,,,,"Disable,Enable","Disable strict mode,Enable strict mode"
ACCharge.ACChgStopSOC,AC Chg Stop SOC,Attribute in ACCharge cluster,attribute,RW,HybridInverter,ACCharge,ACChgStopSOC,,,,,,,SOC,SOC,Number,,,,0.0,90.0,,,,
Parallel.ModbusAddr,Parallel unit ID,"The Unit ID (also known as the unit ID, slave ID, or node ID) for this inverter. The primary inverter should use address 1, and any secondary inverters should use 2 or higher. This sets the modbus address that inverters use to communicate with each other. Each inverter that communicates on the same Modbus communication line must have a unique address, but addresses do not need to be globally unique across separate, unconnected systems.",attribute,RW,HybridInverter,Parallel,ModbusAddr,,,"{
    ""code"": 0,
    ""message"": ""Success"",
    ""version"": ""1.0"",
    ""requestId"": 123,
    ""timestamp"": 1736147764,
    ""data"": {
        ""code"": 0,
        ""message"": ""Success"",
        ""Elements"": [
            {
                ""MEP"": ""HybridInverter"",
                ""Cluster"": ""Parallel"",
                ""Element"": ""ModbusAddr"",
                ""arguments"": {
                    ""Addr"": 1
                },
                ""code"": 0,
                ""Data"": ""Success""
            }
        ]
    }
}","{
    ""version"": ""1.0"",
    ""timeout"": 60,
    ""requestId"": 123,
    ""endPoint"": ""Matter"",
    ""method"": ""Write"",
    ""data"": {
        ""Elements"": [
            {
                ""MEP"": ""HybridInverter"",
                ""Cluster"": ""Parallel"",
                ""Element"": ""ModbusAddr"",
                ""arguments"": {
                    ""Addr"": 1
                }
            }
        ],
        ""thingId"": {
            ""Type"": ""Inverter"",
            ""Mn"": ""fortress"",
            ""Md"": ""FP-ENVY-Inverter"",
            ""SN"": ""04237218B0""
        }
    }
}","{
    ""code"": 0,
    ""message"": ""Success"",
    ""version"": ""1.0"",
    ""requestId"": 123,
    ""timestamp"": 1736143634,
    ""data"": {
        ""code"": 0,
        ""message"": ""Success"",
        ""Elements"": [
            {
                ""MEP"": ""HybridInverter"",
                ""Cluster"": ""Parallel"",
                ""Element"": ""ModbusAddr"",
                ""code"": 0,
                ""Data"": {
                    ""Addr"": 0
                }
            }
        ]
    }
}","{
    ""version"": ""1.0"",
    ""timeout"": 60,
    ""requestId"": 123,
    ""endPoint"": ""Matter"",
    ""method"": ""Read"",
    ""data"": {
        ""Elements"": [
            {
                ""MEP"": ""HybridInverter"",
                ""Cluster"": ""Parallel"",
                ""Element"": ""ModbusAddr""
            }
        ],
        ""thingId"": {
            ""Type"": ""Inverter"",
            ""Mn"": ""fortress"",
            ""Md"": ""FP-ENVY-Inverter"",
            ""SN"": ""04237218B0""
        }
    }
}",Addr,Address,Number,,,,1.0,255.0,,,,
Parallel.SystemType,System Type,"Defines how this inverter participates in a multi-inverter or multi-phase system.

• No Parallel: Single inverter system.
• Single-phase Parallel (Master / Secondary): Multiple inverters on one phase.
• Three-phase Parallel (Master): Multiple inverters forming R/S/T phases.",attribute,RW,HybridInverter,Parallel,SystemType,,,,,,,Type,Parallel Role / Topology,enum,,,,,,,,"no parallel (single one),Single-phase parallel(Master),Secondary,Three phase parallel(Master)","No Parallel (Single Inverter),Single-Phase Parallel (Master),Single-Phase Parallel (Secondary),Three-Phase Parallel (Master)"
Parallel.ComposedPhase,Assigned Phase,"Selects which output phase this inverter is responsible for in a three-phase system. R, S, and T correspond to L1, L2, and L3.",attribute,RW,HybridInverter,Parallel,ComposedPhase,,,,,,,Phase,Phase,enum,,,,,,,,"R,S,T","R,S,T"
Parallel.ClearDetectedPhases,Clear Detected Phases,Clears the detected phases for this inverter.,attribute,W,HybridInverter,Parallel,ClearDetectedPhases,,,,,,,Phase,Phase,enum,,,,,,,,Clear,Clear
Parallel.DetectedGridPhases,Detected Grid Phases,Attribute in Parallel cluster,attribute,R,HybridInverter,Parallel,DetectedGridPhases,,,,,,,Phase,Phase,enum,,,,,,,,"None,R,S,T","None,R,S,T"
Parallel.ShareBatteryStatus,Share Battery,Allows inverters in a parallel group to use a common battery bank instead of keeping batteries isolated per inverter.,attribute,RW,HybridInverter,Parallel,ShareBatteryStatus,,,,,,,Mode,Installation Method,enum,,,,,,,,"Disable,Enable","Inverters have Separate Batteries,Inverters Share a Common Battery Bank"
Parallel.ParallelNum,Inverters in parallel,Total number of inverters detected in this parallel system.,attribute,R,HybridInverter,Parallel,ParallelNum,,,,,,,Num,Num,Number,,,,,,,,,
Parallel.Role,Inverter Role,Reports whether this inverter is acting as Primary (sometimes called the Master) or Secondary in the current parallel configuration.,attribute,R,HybridInverter,Parallel,Role,,,,,,,Role,Role,enum,,,,,,,,"Master,Slave","Primary,Secondary"
Parallel.ParallelPhase,Reported Phase,Reports which phase (R / S / T) this inverter is currently serving in the parallel system.,attribute,R,HybridInverter,Parallel,ParallelPhase,,,,,,,Phase,Phase,enum,,,,,,,,"R,S,T","R,S,T"
